ticker,exchange_code,exchange_name_ko,name_ko,name_en,market_type_code
ALG,NYS,뉴욕,알라모 그룹,ALAMO GROUP INC,2
ALH,NYS,뉴욕,얼라이언스 런드리 홀딩스,ALLIANCE LAUNDRY HOLDINGS INC,2
ALIT,NYS,뉴욕,올라잇,ALIGHT INC,2
ALK,NYS,뉴욕,알래스카 에어 그룹,ALASKA AIR GROUP INC,2
ALL,NYS,뉴욕,올스테이트,ALLSTATE CORP,2
ALL/B,NYS,뉴욕,올스테이트 우선주(5.100%),ALLSTATE CORP 5.1% PREF 15/01/2053,2
ALL/H,NYS,뉴욕,올스테이트 우선주 H(5.100% 상환),ALLSTATE CORP DEP SHS REP 1/1000 NON CUM PER PRF SER H,2
ALL/I,NYS,뉴욕,올스테이트 우선주 I(4.750% 상환),ALLSTATE CORP 4.750% DEP SHS REP 1/1000TH PRP PFD SR I,2
ALL/J,NYS,뉴욕,올스테이트 우선주 J,ALLSTATE CORP DEP SHS REPSTG 1/1000TH NON PERP PFD SER,2
ALLE,NYS,뉴욕,얼리지언,ALLEGION PLC,2
ALLY,NYS,뉴욕,앨라이 파이낸셜,ALLY FINANCIAL INC,2
ALSN,NYS,뉴욕,앨리슨 트랜스미션 홀딩스,ALLISON TRANSMISSION HOLDINGS INC,2
ALTG,NYS,뉴욕,알타 이큅먼트 그룹,ALTA EQUIPMENT GROUP INC,2
ALTG/A,NYS,뉴욕,알타 이큅먼트 그룹 우선주 A(10.000% 누적),ALTA EQUIPMENT GROUP INC 10% DEP SH 1/1000TH CUM PFD SER A U,2
ALUB,NYS,뉴욕,알루사 에너지 애퀴지션 II,ALUSSA ENERGY ACQUISITION CORP II,2
ALUB/UN,NYS,뉴욕,알루사 에너지 인수 II 유닛,ALUSSA ENERGY ACQUISITION CORP II UNITS CONS CL A SH & 1,2
ALV,NYS,뉴욕,오토리브,AUTOLIV INC,2
ALX,NYS,뉴욕,알렉산더스,ALEXANDER S INC,2
AM,NYS,뉴욕,앤테로 미드스트림,ANTERO MIDSTREAM CORPORATION,2
AMBP,NYS,뉴욕,아르다 메탈 패키징,ARDAGH METAL PACKAGING SA,2
AMBQ,NYS,뉴욕,앰비크 마이크로,AMBIQ MICRO  INC.,2
AMC,NYS,뉴욕,AMC 엔터테인먼트 홀딩스,AMC ENTERTAINMENT HOLDINGS INC,2
AMCR,NYS,뉴욕,앰코,AMCOR PLC,2
AME,NYS,뉴욕,아메텍,AMETEK INC,2
AMG,NYS,뉴욕,어필리에이티드 매니저스 그룹,AFFILIATED MANAGERS GROUP,2
AMH,NYS,뉴욕,아메리칸 홈스 포 렌트 A,AMERICAN HOMES 4 RENT,2
AMH/G,NYS,뉴욕,아메리칸 홈스 포 렌트 우선주 G(5.875% 누적 상환),AMERICAN HOMES 4 RENT 5.875% CUM RED PERP PREF SHS SER G USD,2
AMH/H,NYS,뉴욕,아메리칸 홈스 포 렌트 우선주 H(6.250% 누적 상환),AMERICAN HOMES 4 RENT 6.25%CUM RED PREP PFD SHS SER H USD25,2
AMN,NYS,뉴욕,AMN 헬스케어 서비시스,AMN HEALTHCARE SERVICES INC,2
AMP,NYS,뉴욕,어메리프라이즈 파이낸셜,AMERIPRISE FINANCIAL INC,2
AMPX,NYS,뉴욕,앰프리어스 테크놀로지스,AMPRIUS TECHNOLOGIES INC,2
AMPY,NYS,뉴욕,앰플리파이 에너지,AMPLIFY ENERGY CORP,2
AMR,NYS,뉴욕,알파 메탈러지컬 리소시스,ALPHA METALLURGICAL RESOURCES INC,2
AMRC,NYS,뉴욕,아메리스코,AMERESCO INC,2
AMRZ,NYS,뉴욕,앰라이즈,AMRIZE AG,2
